#ID1	ID2	Microbe	20Dim
Alveolar_Disease	Brain_Damage	0.0756917486228496	-0.233674031810134
Cystic_Fibrosis	Brain_Damage	-0.0232126991454989	-0.107657712093187
Emphysema_COPD	Brain_Damage	-0.0159610695373973	-0.188625743220102
Non-Specific_Pulmonary_Disorder	Brain_Damage	-0.0537420297771704	0.160382746422448
Sleep_Apnea	Brain_Damage	0.0058987201201245	-0.0293379268677542
Bladder_Disorder	Brain_Damage	-0.0426368300432914	-0.00488242496767045
Chronic_Kidney_Disease	Brain_Damage	0.0780416033594833	-0.209348351851801
Nephrotic_Syndrome	Brain_Damage	-0.108287579924922	-0.279422045933791
Non-Specific_Nephropathy	Brain_Damage	0.0995512041783986	-0.178444184678288
Urethral_Disorder	Brain_Damage	-0.0194930282342563	-0.0917270163362898
Urinary_Calculus	Brain_Damage	-0.114336247530886	-0.0169879787137457
Epilepsy_Related_Disorders	Brain_Damage	-0.0520107198212027	0.648355720676013
Hepatobiliary_Congenital_Anomaly	Brain_Damage	0.00949992373412255	0.106878157874056
Non-Specific_Digestive_Congenital_Anomaly	Brain_Damage	-0.00237369223921345	-0.162696246814549
Non-Specific_Neurologic_Congenital_Anomaly	Brain_Damage	-0.147029638412609	0.576788205618268
Oro-Facial_Congenital_Anomaly	Brain_Damage	0.0592925356932658	0.0199254353434033
Pubertal_Dysfunction	Brain_Damage	0.0707246889671791	0.13401009156724
Respiratory_Congenital_Anomaly	Brain_Damage	0.00528020282968188	-0.0231395012183118
Appendiceal_Disease	Brain_Damage	0.173206405687154	-0.0234798383713501
Diverticulosis_Diverticulitis	Brain_Damage	-0.127973621813149	-0.270994755507319
Esophageal_Disease	Brain_Damage	-0.00193786122497439	-0.355708083181702
Functional_Digestive_Disorder	Brain_Damage	-0.00506258060029253	-0.178386289008151
Hirschsprungs_Disease	Brain_Damage	0.0125916056553228	-0.193247290420308
Non-Specific_Gastrointestinal_Disorder	Brain_Damage	-0.00973947918921286	-0.232005140264762
Brain_Damage	Pancreatic_Disease	0.0230541008336135	0.0663432052643568
Pancreatic_Disease	Pancreatic_Disease	1	1
Growth_Hormone_Deficiency	Pancreatic_Disease	0.0919712747949389	-0.275582550590463
Hyperaldosteronism	Pancreatic_Disease	0.0114494711584849	0.232340688610055
Type_II_Diabetes_Mellitus	Pancreatic_Disease	0.102219772812348	0.16287000117018
Unspecified_Diabetes_Mellitus	Pancreatic_Disease	-0.00627007828992664	0.0667128830454909
Huntingtons_Chorea	Pancreatic_Disease	0.0768013815994712	0.270734603759288
General_Thrombocytopenia	Pancreatic_Disease	0.00536425427464527	0.0218333970380935
Hereditary_Hemoglobin_Disease	Pancreatic_Disease	0.119738108367091	0.106236027637023
Non-Specific_Anemia	Pancreatic_Disease	0.000221371929881278	-0.0232010709927465
Purpura_Other_Hemorrhagic_Conditions	Pancreatic_Disease	0.132616368007856	-0.466386379716105
Spleen_Disease	Pancreatic_Disease	-0.0314170037036799	0.612951631350881
Motor_Neuron_Disease	Pancreatic_Disease	0.0608743919391768	0.149833525279813
Biliary_Tract_Disease	Pancreatic_Disease	0.0862925931818433	0.832693040064575
Chronic_Liver_Disease	Pancreatic_Disease	0.090793781612752	0.770112766280736
Non-Specific_Liver_Disease	Pancreatic_Disease	0.00341708885575036	0.629960949665618
Allergic_Rhinitis	Pancreatic_Disease	0.0283401043040297	-0.16172263015516
Asthma	Pancreatic_Disease	0.038313981499763	0.0484514321556385
Atopic_Contact_Dermatitis	Pancreatic_Disease	0.00862202580469081	-0.496377920420863
Autoimmune_Lymphoproliferative_Syndrome	Pancreatic_Disease	-0.000138207830167931	0.0652973724543804
Autoimmune_Polyglandular_Disorder	Pancreatic_Disease	-0.0013465416148599	0.114802487593758
Behcets_Syndrome	Pancreatic_Disease	0.0712968758721564	-0.187017419162713
Chronic_Sinusitis	Pancreatic_Disease	-0.165312172497207	0.00673493078775464
Chronic_Tonsillitis_Adenoiditis	Pancreatic_Disease	0.0559093201611522	-0.145832094511484
